"run","MSE","NLPD","Coverage","Width","Time"
1,0.0197356574178394,-0.583239103689012,0.89,0.523114380564498,0.210000000020955
2,0.048864904926537,0.104288989534947,0.69,0.478411383197731,0.200000000011642
3,0.0160134973807044,-0.642986836733262,0.96,0.504391133196097,0.17000000004191
4,0.0158603301710415,-0.708353880959282,1,0.526153012679743,0.210000000020955
5,0.018309001977685,-0.614426100157668,0.97,0.557743271079295,0.10999999998603
6,0.0180553589522068,-0.570892302785936,0.91,0.527004461260826,0.14000000001397
7,0.0295124170257617,-0.531439248425679,0.96,0.517312126871004,0.119999999995343
8,0.0268325986970045,-0.3195907505514,0.88,0.644252067454853,0.179999999993015
9,0.0388682962486921,-0.18192262892826,0.78,0.534830715861395,0.190000000002328
10,0.0398305896667502,-0.481095852333425,0.91,0.539505686376083,0.230000000039581
11,0.0201861583879052,-0.651570461046127,0.93,0.452011911053562,0.169999999983702
12,0.0485245690895935,0.0829824704758133,0.71,0.547048375774712,0.240000000048894
13,0.0377018384726145,-0.381813240153055,0.94,0.545068047673158,0.540000000037253
14,0.0242508604499113,-0.562580088387695,0.99,0.597195694941907,0.309999999997672
15,0.0461377079686482,-0.236831545772953,0.92,0.610523476281128,0.320000000006985
16,0.0124090584662651,-0.743626222011532,1,0.50742139796047,0.159999999974389
17,0.0127844275382662,-0.815307050489348,1,0.526358534622855,0.159999999974389
18,0.0336793347154891,-0.366756435681787,0.91,0.570876894338778,0.110000000044238
19,0.0638893175424379,0.390059609007236,0.57,0.562845142852242,0.160000000032596
20,0.0184278539903432,-0.517560177233336,1,0.643283049525579,0.110000000044238
21,0.0282416101479266,-0.471231753512841,0.92,0.544971922117889,0.130000000004657
22,0.0157031000369078,-0.556936896675253,0.98,0.498643353758292,0.200000000011642
23,0.0163014197926775,-0.756098082598168,0.97,0.453763862909543,0.159999999974389
24,0.00941896516224992,-0.807859490576141,1,0.542891044516279,0.210000000020955
25,0.0259774660405849,-0.491734278326643,0.94,0.598609224686047,0.119999999995343
