"run","MSE","NLPD","Coverage","Width","Time"
1,0.0140413435373704,-0.603832127984546,1,0.625199926708855,0.110000000000014
2,0.0216309988004789,-0.403892102791723,0.96,0.589096618727753,0.110000000000014
3,0.00683101886915679,-0.914384029245022,1,0.594255357079583,0.110000000000014
4,0.00779307303777027,-0.862745343842442,1,0.632942983950029,0.129999999999995
5,0.00653777835727385,-0.843982180715204,1,0.613936683473919,0.110000000000014
6,0.00615571671048365,-0.860044960914875,1,0.592127708188528,0.139999999999986
7,0.00421638971817914,-0.965924981801828,1,0.582768713615364,0.149999999999977
8,0.0077955761215383,-0.700338897927327,1,0.666801115386898,0.139999999999986
9,0.0181277921970664,-0.684807888136121,1,0.58118894438534,0.110000000000014
10,0.0197104383010412,-0.672927626106794,1,0.592483516566216,0.0800000000000409
11,0.00811467283264971,-0.949126752639965,1,0.531901881512809,0.120000000000005
12,0.0348047552471281,-0.587058458341877,0.99,0.560912359113103,0.0599999999999454
13,0.0127159700277786,-0.730524926871144,1,0.585157856806022,0.110000000000014
14,0.00791734369660953,-0.754231954736802,1,0.586090477957224,0.139999999999986
15,0.0246550657795341,-0.530862694571409,1,0.633010612043096,0.0799999999999272
16,0.00387480606389926,-0.965091652629564,1,0.568207095625649,0.0899999999999181
17,0.00539025569410758,-0.825570904863285,1,0.627724987786666,0.0899999999999181
18,0.0051703707087777,-0.898758786613286,1,0.599342298822615,0.0899999999999181
19,0.00677968567909204,-0.756340447667693,1,0.65715554248636,0.0799999999999272
20,0.0107224919006866,-0.736336276758641,1,0.681804885164262,0.110000000000127
21,0.00278988383026154,-0.914376633599482,1,0.605027274636588,0.0900000000001455
22,0.0350346414992704,0.0251260670632434,0.74,0.570187004387491,0.1099999999999
23,0.0293541493625263,-0.263607054284787,0.84,0.53828357117803,0.0899999999999181
24,0.00153007683498976,-0.921379353377462,1,0.628000357630327,0.0999999999999091
25,0.0273474120211579,-0.308777991295911,0.89,0.624953177992266,0.0799999999999272
