"method","n","mean_cov","sd_cov","ci_lo","ci_hi","t_stat","p_t_gt","p_t_gt_holm","p_w_gt","p_w_gt_holm"
"IP",25,0.9036,0.119926366297547,0.862564025798575,Inf,-1.93452038248528,0.96753898653705,1,0.849673521912771,1
"CGP",25,0.9408,0.0826095232605378,0.912532969404737,Inf,-0.556836526642612,0.708602480202248,1,0.285038620705054,1
"SR",25,0.9164,0.111873440398813,0.878119547120771,Inf,-1.50169691216346,0.926890472349145,1,0.86011680008338,1
"BF",25,0.9092,0.109655521216824,0.871678466757402,Inf,-1.8603714408199,0.962434672194474,1,0.834034214126571,1
