"x","y","z_true","z_post_mean"
0,0,0,0.450818486035907
0.0101010101010101,0,0.0634239196565645,0.472050928422789
0.0202020202020202,0,0.126592453573749,0.493283370809672
0.0303030303030303,0,0.18925124436041,0.514515813196554
0.0404040404040404,0,0.251147987181079,0.535748255583436
0.0505050505050505,0,0.312033445698487,0.556980697970318
0.0606060606060606,0,0.371662455660328,0.5782131403572
0.0707070707070707,0,0.429794912089172,0.599445582744083
0.0808080808080808,0,0.486196736100469,0.620678025130965
0.0909090909090909,0,0.540640817455598,0.641910467517847
0.101010101010101,0,0.592907929054641,0.663142909904729
0.111111111111111,0,0.642787609686539,0.684375352291612
0.121212121212121,0,0.690079011482112,0.694665214395641
0.131313131313131,0,0.734591708657533,0.704955076499671
0.141414141414141,0,0.776146464291757,0.715244938603701
0.151515151515152,0,0.814575952050336,0.725534800707731
0.161616161616162,0,0.849725429949514,0.735824662811761
0.171717171717172,0,0.881453363447582,0.746114524915791
0.181818181818182,0,0.909631995354518,0.756404387019821
0.191919191919192,0,0.934147860265107,0.766694249123851
0.202020202020202,0,0.954902241444074,0.776984111227881
0.212121212121212,0,0.971811568323542,0.787273973331911
0.222222222222222,0,0.984807753012208,0.797563835435941
0.232323232323232,0,0.993838464461254,0.783205723530295
0.242424242424242,0,0.998867339183008,0.768847611624649
0.252525252525253,0,0.999874127673875,0.754489499719002
0.262626262626263,0,0.996854775951942,0.740131387813356
0.272727272727273,0,0.989821441880933,0.72577327590771
0.282828282828283,0,0.978802446214779,0.711415164002064
0.292929292929293,0,0.963842158559942,0.697057052096418
0.303030303030303,0,0.945000818714668,0.682698940190772
0.313131313131313,0,0.922354294104581,0.668340828285126
0.323232323232323,0,0.895993774291336,0.653982716379479
0.333333333333333,0,0.866025403784438,0.639624604473833
0.343434343434343,0,0.832569854634771,0.599276633580838
0.353535353535354,0,0.795761840530832,0.558928662687843
0.363636363636364,0,0.755749574354258,0.518580691794849
0.373737373737374,0,0.712694171378863,0.478232720901854
0.383838383838384,0,0.666769000516292,0.437884750008859
0.393939393939394,0,0.618158986220605,0.397536779115864
0.404040404040404,0,0.56705986386277,0.357188808222869
0.414141414141414,0,0.513677391573406,0.316840837329875
